Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
610000,1.4324741,70.24285714285715,30.572035,73.0812099814415,73.0812099814415,1.0
615000,1.4315836,70.94444444444444,29.871529,56.85679987404082,56.85679987404082,1.0
620000,1.4315836,74.85714285714286,30.641981,86.0997487855336,86.0997487855336,1.0
625000,1.4315835,67.48648648648648,30.131634,54.68322576703252,54.68322576703252,1.0
630000,1.4314896,70.71014492753623,30.925665,72.40923607867697,72.40923607867697,1.0
635000,1.4310077,64.9342105263158,30.807459,49.455320792762855,49.455320792762855,1.0
640000,1.4310079,63.35064935064935,31.694086,58.569195580172845,58.569195580172845,1.0
645000,1.4310077,69.27777777777777,31.795689,64.70692077196307,64.70692077196307,1.0
650000,1.4310611,64.97333333333333,31.864677,57.56212756474813,57.56212756474813,1.0
655000,1.4314985,70.69014084507042,32.7667,66.60165162321547,66.60165162321547,1.0
660000,1.4314984,64.66666666666667,32.876083,58.43710171699524,58.43710171699524,1.0
665000,1.4314985,64.22077922077922,32.748608,56.04855575809231,56.04855575809231,1.0
670000,1.431594,70.32857142857142,33.109253,67.35486706154687,67.35486706154687,1.0
675000,1.4327276,70.12857142857143,34.487453,72.99103105408805,72.99103105408805,1.0
680000,1.4327276,67.01351351351352,33.969833,55.73444259972186,55.73444259972186,1.0
685000,1.4327276,73.5223880597015,33.82551,66.17416758501707,66.17416758501707,1.0
690000,1.4327551,63.217948717948715,33.448093,49.93530356109916,49.93530356109916,1.0
695000,1.4332703,72.08823529411765,33.114395,65.5607204914093,65.5607204914093,1.0
700000,1.4332702,67.06944444444444,34.095608,80.44354226191838,80.44354226191838,1.0
705000,1.4332702,65.17105263157895,33.670826,62.9101329139973,62.9101329139973,1.0
710000,1.4332703,64.0,33.217247,51.70959998338253,51.70959998338253,1.0
715000,1.4333649,72.86764705882354,34.410725,78.1445168309352,78.1445168309352,1.0
720000,1.4333901,72.94029850746269,33.956753,75.1037988057777,75.1037988057777,1.0
725000,1.4333901,69.66666666666667,33.394836,62.364798828959465,62.364798828959465,1.0
730000,1.4333901,68.97142857142858,33.096214,58.5194385596684,58.5194385596684,1.0
735000,1.4349252,75.33333333333333,34.891876,83.85794854525363,83.85794854525363,1.0
740000,1.4351367,68.0,34.813004,63.072573809160126,63.072573809160126,1.0
745000,1.4351366,72.80882352941177,35.1265,71.07567674272201,71.07567674272201,1.0
750000,1.4351366,71.85507246376811,34.473537,65.26065276325613,65.26065276325613,1.0
755000,1.436694,72.6231884057971,33.021538,69.62578753457554,69.62578753457554,1.0
760000,1.4369012,89.18518518518519,35.550804,119.6585189236535,119.6585189236535,1.0
765000,1.4369013,87.89473684210526,35.62234,114.78833198338224,114.78833198338224,1.0
770000,1.4369013,68.7605633802817,33.151005,62.429034839213735,62.429034839213735,1.0
775000,1.4369721,81.73770491803279,36.27846,101.840364060441,101.840364060441,1.0
780000,1.4369726,83.37931034482759,35.28439,93.19779603865187,93.19779603865187,1.0
785000,1.4369725,76.24242424242425,35.508522,82.75735768133944,82.75735768133944,1.0
790000,1.4369725,83.6896551724138,36.471596,110.36086582726446,110.36086582726446,1.0
795000,1.4371952,85.42105263157895,32.633823,92.59142909995441,92.59142909995441,1.0
800000,1.437259,84.10169491525424,32.81157,97.6220558699915,97.6220558699915,1.0
805000,1.4372588,78.80645161290323,32.428368,87.3124683422427,87.3124683422427,1.0
810000,1.4372588,89.21428571428571,32.76141,112.9253207977329,112.9253207977329,1.0
815000,1.4362912,89.36842105263158,32.91543,114.32742107541938,114.32742107541938,1.0
820000,1.4357349,91.43396226415095,35.278683,139.46181034142117,139.46181034142117,1.0
825000,1.4357347,91.98113207547169,34.160263,118.94025279665892,118.94025279665892,1.0
830000,1.4357347,86.73684210526316,32.895065,109.81184292885295,109.81184292885295,1.0
835000,1.4341961,90.25,32.36615,101.01682393678597,101.01682393678597,1.0
840000,1.4332945,95.03921568627452,33.40398,132.71973625818887,132.71973625818887,1.0
845000,1.4332945,85.55172413793103,31.962927,84.86576201381355,84.86576201381355,1.0
850000,1.4332944,86.54385964912281,32.410137,95.62316001925552,95.62316001925552,1.0
855000,1.4324148,93.66037735849056,33.62637,115.04280277468123,115.04280277468123,1.0
860000,1.4318427,87.32727272727273,33.891914,102.08818769880703,102.08818769880703,1.0
865000,1.4318426,98.92,37.22339,157.41378561735152,157.41378561735152,1.0
870000,1.4318426,96.52941176470588,35.321472,139.01069295172599,139.01069295172599,1.0
875000,1.4314293,83.43333333333334,33.182186,109.03018946150938,109.03018946150938,1.0
880000,1.4310491,89.83636363636364,33.87948,115.86097674153068,115.86097674153068,1.0
885000,1.4310491,88.01785714285714,34.510082,103.95534814681325,103.95534814681325,1.0
890000,1.4310491,104.85106382978724,36.28673,180.75564888183106,180.75564888183106,1.0
895000,1.4304714,90.39285714285714,35.435917,114.92280306134906,114.92280306134906,1.0
900000,1.429795,85.21052631578948,33.591488,129.68153202952,129.68153202952,1.0
905000,1.429795,82.15,30.041256,91.06163296699523,91.06163296699523,1.0
910000,1.429795,97.7843137254902,33.9616,127.3390951717601,127.3390951717601,1.0
915000,1.4301418,79.11290322580645,30.248817,90.53759843687857,90.53759843687857,1.0
920000,1.4306289,86.42105263157895,32.65014,102.5688805391914,102.5688805391914,1.0
925000,1.4306289,80.12903225806451,32.716743,87.78847315619069,87.78847315619069,1.0
930000,1.430629,87.51785714285714,33.75797,110.23480877067361,110.23480877067361,1.0
935000,1.4302655,95.64150943396227,33.58691,114.47257217821085,114.47257217821085,1.0
940000,1.4293118,86.71428571428571,36.378242,113.76904622571809,113.76904622571809,1.0
945000,1.4293118,86.56140350877193,34.89788,110.33524580169143,110.33524580169143,1.0
950000,1.4293119,92.84905660377359,34.704582,118.638572362234,118.638572362234,1.0
955000,1.4288992,81.42622950819673,34.828846,94.66518918998906,94.66518918998906,1.0
960000,1.4279137,87.82142857142857,39.23684,111.37819355621673,111.37819355621673,1.0
965000,1.4279137,90.96363636363637,37.749695,107.40204236507415,107.40204236507415,1.0
970000,1.4279137,92.16363636363636,39.293404,108.65999001589688,108.65999001589688,1.0
975000,1.4276578,95.47058823529412,40.023697,133.83944738612456,133.83944738612456,1.0
980000,1.4268723,102.70833333333333,37.996685,138.24601962169012,138.24601962169012,1.0
985000,1.4268723,82.27118644067797,38.637505,108.74397942171258,108.74397942171258,1.0
990000,1.4268721,94.73584905660377,37.59337,132.2363789104066,132.2363789104066,1.0
995000,1.4267488,103.0625,40.78336,144.28380564351878,144.28380564351878,1.0
1000000,1.4261836,86.71428571428571,38.566647,104.66044956445694,104.66044956445694,1.0
1005000,1.4261836,90.36363636363636,40.04051,118.4082301269878,118.4082301269878,1.0
1010000,1.4261835,97.13461538461539,39.251534,122.68012837721751,122.68012837721751,1.0
1015000,1.426156,86.0,39.72515,105.31870617823941,105.31870617823941,1.0
1020000,1.4252795,90.45454545454545,38.56589,125.61498290191997,125.61498290191997,1.0
1025000,1.4252795,103.125,39.448193,149.8849995881319,149.8849995881319,1.0
1030000,1.4252794,86.80701754385964,36.058777,107.23280406311939,107.23280406311939,1.0
1035000,1.4252515,95.9622641509434,36.891254,135.26093819231357,135.26093819231357,1.0
1040000,1.4252093,96.54,39.3702,122.15229689121246,122.15229689121246,1.0
1045000,1.4252092,87.33928571428571,38.743916,102.619699716568,102.619699716568,1.0
1050000,1.4252092,105.33333333333333,41.491978,153.39422986408076,153.39422986408076,1.0
1055000,1.425177,98.09433962264151,42.45834,161.4289352753583,161.4289352753583,1.0
1060000,1.4242632,95.91666666666667,43.728912,129.15836743593215,129.15836743593215,1.0
1065000,1.4242632,103.0625,43.00681,149.18375951300064,149.18375951300064,1.0
1070000,1.4242632,99.54,42.57724,119.2357375907898,119.2357375907898,1.0
1075000,1.4242632,89.33928571428571,38.69736,102.35384393802711,102.35384393802711,1.0
1080000,1.42295,115.76190476190476,49.077923,180.06308291071937,180.06308291071937,1.0
1085000,1.4228489,92.62962962962963,47.263798,119.92248349057303,119.92248349057303,1.0
1090000,1.4228488,80.22950819672131,46.452625,95.5944416952915,95.5944416952915,1.0
1095000,1.4228489,109.97826086956522,46.93997,134.54027034147927,134.54027034147927,1.0
1100000,1.4219453,100.06122448979592,45.411324,141.12576756671984,141.12576756671984,1.0
1105000,1.4217864,103.0,48.0943,137.90591501568755,137.90591501568755,1.0
1110000,1.4217864,116.08888888888889,48.46366,154.02483041286467,154.02483041286467,1.0
1115000,1.4217864,94.82,46.238266,150.4706101870537,150.4706101870537,1.0
1120000,1.4210228,103.72340425531915,52.252483,140.83079649286069,140.83079649286069,1.0
1125000,1.4207479,107.3695652173913,51.021393,157.91546180973882,157.91546180973882,1.0
1130000,1.4207479,98.19607843137256,51.26086,133.95620972502465,133.95620972502465,1.0
1135000,1.4207478,98.36,53.725067,138.11216022014617,138.11216022014617,1.0
1140000,1.4195291,110.2,58.940468,161.0044209268358,161.0044209268358,1.0
1145000,1.4190654,119.95121951219512,59.336544,178.82811120952047,178.82811120952047,1.0
1150000,1.4190652,104.54166666666667,57.014385,163.83201207220554,163.83201207220554,1.0
1155000,1.4190654,104.0,57.040703,183.18667471662482,183.18667471662482,1.0
1160000,1.4173836,111.15217391304348,57.008327,157.03603823547778,157.03603823547778,1.0
1165000,1.4165137,92.21153846153847,55.775246,125.23445428793246,125.23445428793246,1.0
1170000,1.4165137,110.84444444444445,57.10993,155.6969706641303,155.6969706641303,1.0
1175000,1.4165137,112.18181818181819,58.829636,181.0183434188366,181.0183434188366,1.0
1180000,1.4150472,119.28571428571429,54.549946,169.82612450917563,169.82612450917563,1.0
1185000,1.4139739,112.06818181818181,59.523476,168.81425787914884,168.81425787914884,1.0
1190000,1.4139739,98.50980392156863,54.59009,127.40250231939204,127.40250231939204,1.0
1195000,1.413974,103.38297872340425,55.0844,144.03122704587085,144.03122704587085,1.0
1200000,1.4131142,100.36734693877551,54.44449,133.90843815098003,133.90843815098003,1.0
1205000,1.4123267,109.56521739130434,53.94721,137.89395023947176,137.89395023947176,1.0
1210000,1.4123267,107.43478260869566,55.903946,142.60613436025122,142.60613436025122,1.0
1215000,1.4123267,105.95652173913044,58.540283,152.1300506177156,152.1300506177156,1.0
1220000,1.4114233,110.91111111111111,63.589203,178.80174079471163,178.80174079471163,1.0
1225000,1.4103451,92.60377358490567,60.704704,119.1369922633441,119.1369922633441,1.0
1230000,1.4103451,109.02173913043478,59.328598,137.7817423939705,137.7817423939705,1.0
1235000,1.410345,104.04166666666667,61.2104,141.9551397661368,141.9551397661368,1.0
1240000,1.4094788,106.45652173913044,63.012318,139.9082974558291,139.9082974558291,1.0
1245000,1.4081717,105.1063829787234,62.513287,140.29426381182162,140.29426381182162,1.0
1250000,1.4081715,119.64285714285714,62.266747,154.43353241398222,154.43353241398222,1.0
